Date (2016,City,Country,Venue,Opening acts,Tickets sold,Tickets Available,Revenue,Capacity
20/07/2016,Indianapolis,United States,Bankers Life Fieldhouse,Alessia Cara Foxes,"12,667","12,667","$1,460,006","12,667"
21/07/2016,St. Louis,United States,Scottrade Center,Alessia Cara Foxes,"13,960","13,960","$1,547,633","13,960"
23/07/2016,Chicago,United States,Soldier Field,—[j],"95,323","95,323","$10,215,572","95,323"
24/07/2016,Chicago,United States,Soldier Field,Alessia Cara Foxes,"95,323","95,323","$10,215,572","95,323"
27/07/2016,Louisville,United States,KFC Yum! Center,Alessia Cara Foxes,"13,755","13,755","$1,520,726","13,755"
28/07/2016,Columbus,United States,Nationwide Arena,Alessia Cara Foxes,"15,530","15,530","$1,933,346","15,530"
30/07/2016,Foxborough,United States,Gillette Stadium,Alessia Cara Foxes,"54,952","54,952","$6,530,260","54,952"
01/08/2016,Buffalo,United States,First Niagara Center,Alessia Cara Foxes,"15,100","15,100","$1,878,324","15,100"
03/08/2016,Auburn Hills,United States,The Palace of Auburn Hills,Alessia Cara Foxes,"15,436","15,436","$1,731,667","15,436"
04/08/2016,Pittsburgh,United States,Consol Energy Center,Alessia Cara Foxes,"14,360","14,360","$1,614,917","14,360"
06/08/2016,Philadelphia,United States,Lincoln Financial Field,Alessia Cara Foxes,"54,497","54,497","$5,530,866","54,497"
20/08/2016,Pasadena,United States,Rose Bowl,Alessia Cara Bishop Briggs Stargate,"120,062","120,062","$10,914,898","120,062"
21/08/2016,Pasadena,United States,Rose Bowl,Alessia Cara Bishop Briggs,"120,062","120,062","$10,914,898","120,062"
23/08/2016,Glendale,United States,Gila River Arena,Alessia Cara Bishop Briggs,"14,427","14,427","$1,776,867","14,427"
25/08/2016,Tulsa,United States,BOK Center,Alessia Cara Bishop Briggs,"13,234","13,234","$1,578,961","13,234"
27/08/2016,Arlington,United States,AT&T Stadium,Alessia Cara Bishop Briggs,"52,538","52,538","$5,679,031","52,538"
29/08/2016,Denver,United States,Pepsi Center,Alessia Cara Bishop Briggs,"15,664","15,664","$1,902,639","15,664"
31/08/2016,Salt Lake City,United States,Vivint Smart Home Arena,Alessia Cara Bishop Briggs,"15,645","15,645","$1,871,968","15,645"
01/09/2016,Paradise,United States,T-Mobile Arena,Alessia Cara Bishop Briggs,"15,898","15,898","$2,124,032","15,898"
03/09/2016,Santa Clara,United States,Levi's Stadium,Alessia Cara Bishop Briggs,"52,404","52,404","$5,990,660","52,404"
04/09/2016,Philadelphia,United States,Benjamin Franklin Parkway,—,—,,—,
11/11/2016,London,England,London Palladium,—,—,,—,2286
19/11/2016,Mumbai,India,MMRDA Grounds,—,—,,—,15000
03/12/2016,Auckland,New Zealand,Mount Smart Stadium,Lianne La Havas Jess Kent,"39,644","39,644","$3,752,610","39,644"
06/12/2016,Brisbane,Australia,Suncorp Stadium,Lianne La Havas Jess Kent,"49,604","49,604","$4,723,300","49,604"
09/12/2016,Melbourne,Australia,Etihad Stadium,Lianne La Havas Jess Kent,"103,482","103,482","$8,920,530","103,482"
10/12/2016,Melbourne,Australia,Etihad Stadium,Lianne La Havas Jess Kent,"103,482","103,482","$8,920,530","103,482"
13/12/2016,Sydney,Australia,Allianz Stadium,Lianne La Havas Jess Kent,"97,356","97,356","$8,813,130","97,356"
14/12/2016,Sydney,Australia,Allianz Stadium,Lianne La Havas Jess Kent,"97,356","97,356","$8,813,130","97,356"
31/12/2016,Abu Dhabi,United Arab Emirates,du Arena,DJ Saif,"31,285","31,285","$4,301,291","31,285"
