D a t e   ( 2 0 1 6 ),C i t y,C o u n t r y,V e n u e,O p e n i n g   a c t s,A t t e n d a n c e,R e v e n u e
3 August,Auburn Hills,United States,The Palace of Auburn Hills,Alessia Cara Foxes,"15,436 / 15,436","$1,731,667"
4 August,Pittsburgh,United States,Consol Energy Center,Alessia Cara Foxes,"14,360 / 14,360","$1,614,917"
6 August,Philadelphia,United States,Lincoln Financial Field,Alessia Cara Foxes,"54,497 / 54,497","$5,530,866"
20 August[k],Pasadena,United States,Rose Bowl,Alessia Cara Bishop Briggs Stargate,"120,062 / 120,062","$10,914,898"
21 August,Pasadena,United States,Rose Bowl,Alessia Cara Bishop Briggs,"120,062 / 120,062","$10,914,898"
23 August,Glendale,United States,Gila River Arena,Alessia Cara Bishop Briggs,"14,427 / 14,427","$1,776,867"
25 August,Tulsa,United States,BOK Center,Alessia Cara Bishop Briggs,"13,234 / 13,234","$1,578,961"
27 August,Arlington,United States,AT&T Stadium,Alessia Cara Bishop Briggs,"52,538 / 52,538","$5,679,031"
29 August,Denver,United States,Pepsi Center,Alessia Cara Bishop Briggs,"15,664 / 15,664","$1,902,639"
31 August,Salt Lake City,United States,Vivint Smart Home Arena,Alessia Cara Bishop Briggs,"15,645 / 15,645","$1,871,968"
1 September,Paradise,United States,T-Mobile Arena,Alessia Cara Bishop Briggs,"15,898 / 15,898","$2,124,032"
3 September,Santa Clara,United States,Levi's Stadium,Alessia Cara Bishop Briggs,"52,404 / 52,404","$5,990,660"
4 September,Philadelphia,United States,Benjamin Franklin Parkway,—,—,—
11 November,London,England,London Palladium,—,—,—
19 November,Mumbai,India,MMRDA Grounds,—,—,—
3 December,Auckland,New Zealand,Mount Smart Stadium,Lianne La Havas Jess Kent,"39,644 / 39,644","$3,752,610"
6 December,Brisbane,Australia,Suncorp Stadium,Lianne La Havas Jess Kent,"49,604 / 49,604","$4,723,300"
9 December,Melbourne,Australia,Etihad Stadium,Lianne La Havas Jess Kent,"103,482 / 103,482","$8,920,530"
10 December,Melbourne,Australia,Etihad Stadium,Lianne La Havas Jess Kent,"103,482 / 103,482","$8,920,530"
13 December,Sydney,Australia,Allianz Stadium,Lianne La Havas Jess Kent,"97,356 / 97,356","$8,813,130"
14 December,Sydney,Australia,Allianz Stadium,Lianne La Havas Jess Kent,"97,356 / 97,356","$8,813,130"
31 December,Abu Dhabi,United Arab Emirates,du Arena,DJ Saif,"31,285 / 31,285","$4,301,291"
