Date North America[a][6],City North America[a][6],Country North America[a][6],Venue North America[a][6],Attendance North America[a][6],Box Office North America[a][6],Unnamed: 6_level_0 Unnamed: 6_level_1,Unnamed: 7_level_0 Unnamed: 7_level_1,Unnamed: 8_level_0 Unnamed: 8_level_1,Unnamed: 9_level_0 Unnamed: 9_level_1,Unnamed: 10_level_0 Unnamed: 10_level_1
8 June 2017,Leeds,England,First Direct Arena,"9,345 / 10,590","$897,806",,,,,
10 June 2017,Blackburn,England,Ewood Park,—,—,,,,,
11 June 2017,Peterborough,England,ABAX Stadium,—,—,,,,,
13 June 2017,Kirchberg,Luxembourg,d'Coque,—,—,,,,,
15 June 2017,Sønderborg,Denmark,Mølleparken,—,—,,,,,
17 June 2017,Ipswich,England,Portman Road,—,—,,,,,
18 June 2017,Widnes,England,Select Security Stadium,—,—,,,,,
20 June 2017[m],Cork,Ireland,The Docklands,—,—,,,,,
24 June 2017,Airdrie,Scotland,Excelsior Stadium,—,—,,,,,
25 June 2017[n],Nantes,France,Zénith de Nantes Métropole,—,—,,,,,
27 June 2017,Cologne,Germany,Lanxess Arena,"9,376 / 11,000","$789,491",,,,,
29 June 2017,Kristiansand,Norway,Scandic Kristiansand Bystranda,—,—,,,,,
30 June 2017,Hamar,Norway,Hamar Stortorget,—,—,,,,,
2 July 2017,Stockholm,Sweden,Gröna Lund Tivoli,—,—,,,,,
5 July 2017,Mannheim,Germany,SAP Arena,"9,448 / 9,448","$782,937",,,,,
7 July 2017,Berlin,Germany,Mercedes-Benz Arena,"11,226 / 12,039","$896,966",,,,,
9 July 2017,Sopot,Poland,Opera Leśna,—,—,,,,,
12 July 2017[o],Zürich,Switzerland,Dolder Kunsteisbahn,—,—,,,,,
14 July 2017,Mantua,Italy,Piazza Sordello,"7,232 / 8,000","$626,700",,,,,
15 July 2017,Klagenfurt,Austria,Wörthersee Stadion,—,—,,,,,
16 July 2017,Oberösterreich,Austria,Burg Clam,—,—,,,,,
18 July 2017,Las Palmas,Spain,Gran Canaria Arena,—,—,,,,,
