artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,02 June 2010,Washington,United States,Verizon Center,Gloriana Kellie Pickler,1824743,Fearless Tour,27290,27290,TS Kaggle,TRUE
Taylor Swift,05 June 2010,Foxborough,United States,Gillette Stadium,Gloriana Kellie Pickler Justin Bieber ,3726157,Fearless Tour,56868,56868,TS Kaggle,TRUE
Taylor Swift,10 July 2010,Cavendish,Canada,Cavendish Beach Festival Grounds,None,,Fearless Tour,35000,35000,TS Kaggle,TRUE
Taylor Swift,09 February 2011,Singapore,Singapore,Singapore Indoor Stadium,Sezairi Sezali,916850,Speak Now World Tour,8964,8964,TS Kaggle,TRUE
Taylor Swift,11 February 2011,Seoul,South Korea,Olympic Gymnastics Arena,None,385374,Speak Now World Tour,4725,4725,TS Kaggle,TRUE
Taylor Swift,13 February 2011,Osaka,Japan,Osaka-Jo Hall,None,758113,Speak Now World Tour,6953,6953,TS Kaggle,TRUE
Taylor Swift,16 February 2011,Tokyo,Japan,Nippon Budokan,None,1738227,Speak Now World Tour,15955,15955,TS Kaggle,TRUE
Taylor Swift,17 February 2011,Tokyo,Japan,Nippon Budokan,None,1738227,Speak Now World Tour,15955,15955,TS Kaggle,TRUE
Taylor Swift,19 February 2011,Quezon City,Philippines,Smart Araneta Coliseum,Sam Concepcion,859037,Speak Now World Tour,12667,12667,TS Kaggle,TRUE
Taylor Swift,21 February 2011,Hong Kong,Hong Kong,AsiaWorldArena,Saito Johnny,1030633,Speak Now World Tour,12573,12573,TS Kaggle,TRUE
Taylor Swift,06 March 2011,Brussels,Belgium,Forest National,Tom Dice,219212,Speak Now World Tour,4622,4622,TS Kaggle,TRUE
Taylor Swift,07 March 2011,Rotterdam,Netherlands,Sportpaleis van Ahoy,Tom Dice,248314,Speak Now World Tour,4799,4799,TS Kaggle,TRUE
Taylor Swift,09 March 2011,Oslo,Norway,Oslo Spektrum,None,815246,Speak Now World Tour,8650,8650,TS Kaggle,TRUE
Taylor Swift,12 March 2011,Oberhausen,Germany,König Pilsener Arena,Martin & James,370028,Speak Now World Tour,6082,6082,TS Kaggle,TRUE
Taylor Swift,15 April 2011,Milan,Italy,Mediolanum Forum,Emma Marrone,153303,Speak Now World Tour,3421,5585,TS Kaggle,FALSE
