city,country,venue_name,support_act,revenue,event_name,tix_sold,tix_available,event_date
Kansas City,United States,Sprint Center,Gloriana Kellie Pickler,761110.0,Fearless Tour,13781,13781,02/04/2010
Denver,United States,Pepsi Center,Gloriana Kellie Pickler,1497135.0,Fearless Tour,25991,25991,06/04/2010
Denver,United States,Pepsi Center,Gloriana Kellie Pickler,1497135.0,Fearless Tour,25991,25991,07/04/2010
Fresno,United States,Save Mart Center,Gloriana Kellie Pickler,649488.0,Fearless Tour,11706,11706,10/04/2010
San Jose,United States,HP Pavilion,Gloriana Kellie Pickler,716726.0,Fearless Tour,12744,12744,11/04/2010
Los Angeles,United States,Staples Center,Gloriana Kellie Pickler,1736197.0,Fearless Tour,27518,27518,15/04/2010
Los Angeles,United States,Staples Center,Gloriana Kellie Pickler,1736197.0,Fearless Tour,27518,27518,16/04/2010
Lexington,United States,Rupp Arena,Gloriana Kellie Pickler,1024223.0,Fearless Tour,17966,17966,29/04/2010
Columbia,United States,Colonial Life Arena,Gloriana Kellie Pickler,755475.0,Fearless Tour,13429,13429,30/04/2010
Raleigh,United States,RBC Center,Gloriana Kellie Pickler,752303.0,Fearless Tour,13895,13895,01/05/2010
Des Moines,United States,Wells Fargo Arena,Gloriana Kellie Pickler,738280.0,Fearless Tour,13264,13264,06/05/2010
Saint Paul,United States,Xcel Energy Center,Gloriana Kellie Pickler,846111.0,Fearless Tour,14914,14914,07/05/2010
Moline,United States,iWireless Center,Gloriana Kellie Pickler,610668.0,Fearless Tour,10641,10641,08/05/2010
Newark,United States,Prudential Center,Gloriana Kellie Pickler,1742669.0,Fearless Tour,26065,26065,12/05/2010
Newark,United States,Prudential Center,Gloriana Kellie Pickler,1742669.0,Fearless Tour,26065,26065,13/05/2010
Uniondale,United States,Nassau Veterans Memorial Coliseum,Gloriana Kellie Pickler,1713529.0,Fearless Tour,25831,25831,14/05/2010
Uniondale,United States,Nassau Veterans Memorial Coliseum,Gloriana Kellie Pickler,1713529.0,Fearless Tour,25831,25831,15/05/2010
Ottawa,Canada,Scotiabank Place,Gloriana Kellie Pickler,873206.0,Fearless Tour,13376,13376,20/05/2010
Toronto,Canada,Air Canada Centre,Gloriana Kellie Pickler,2497690.0,Fearless Tour,30458,30458,21/05/2010
Toronto,Canada,Air Canada Centre,Gloriana Kellie Pickler,2497690.0,Fearless Tour,30458,30458,22/05/2010
