name,type,id,venue_names,date,time,currency,price_min,price_max
Ballet Tucson Winter Concert,event,G5v0Z9lQolsKX,TCC Leo Rich Theatre - Tucson,10/02/2024,21:00:00,USD,4,50
Ballet Tucson Spring Concert,event,G5v0Z9lQKu-4T,TCC Leo Rich Theatre - Tucson,24/03/2024,21:00:00,USD,4,50
Ballet Tucson Spring Concert,event,G5v0Z9lQK5v4s,TCC Leo Rich Theatre - Tucson,23/03/2024,21:00:00,USD,4,50
Ballet Tucson Winter Concert,event,G5v0Z9lQocvfe,TCC Leo Rich Theatre - Tucson,11/02/2024,02:00:00,USD,4,50
Ballet Tucson Spring Concert,event,G5v0Z9lQKa-4R,TCC Leo Rich Theatre - Tucson,23/03/2024,02:00:00,USD,4,50
Ballet Tucson Spring Concert,event,G5v0Z9lQKGo4D,TCC Leo Rich Theatre - Tucson,24/03/2024,02:00:00,USD,4,50
"""MOTHER 2 SON"" Concert ",event,vvG1YZ9mMKaS1e,Clarence Muse Cafe Theater,16/12/2023,03:00:00,USD,10,10
"""MOTHER 2 SON"" Concert ",event,vvG1YZ9mMK1K17,Clarence Muse Cafe Theater,17/12/2023,03:00:00,USD,10,10
30th Riverdale Share Concert,event,G5vZZ9gmDX3Or,The Danforth Music Hall,10/12/2023,19:30:00,CAD,25,25
Karsu - Live in Concert,event,Z698xZbpZ171abt,PHIL,09/12/2023,19:00:00,EUR,28.5,28.5
BrownstoneJAZZ FEST CONCERT SERIES,event,rZ7HnEZ1AK3ebF,BrownstoneJAZZ,10/12/2023,02:30:00,USD,35,35
