Name,Genres,Popularity,Followers
Devourment,"brutal death metal, death metal, grindcore, technical death metal, texas death metal, texas metal",30,60012
Sly & The Family Stone,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",56,1003058
potsu,"japanese chillhop, lo-fi beats, lo-fi rap",55,332622
Coldplay,"permanent wave, pop",86,48719364
Patton Oswalt,"comedy, new comedy",37,107183
Norma Jean Martine,nyc pop,63,11333
Armut,gym hardstyle,53,5506
Tosca,"downtempo, electronica, trip hop",48,128148
Kenshi Yonezu,"anime, j-pop",70,5533945
Paco de Lucía,"flamenco, flamenco guitar, rumba",52,532726
Rodolfo Biagi,"orquesta tipica, tango, vintage tango",29,17160
Julie Andrews,"broadway, hollywood, movie tunes, show tunes",54,120377
SICK LEGEND,gym hardstyle,66,183193
Ebru Gündeş,"arabesk, turkish folk, turkish pop",65,2531408
Björn Skifs,classic swedish pop,57,90160
Alan Jackson,country,69,2555933
Ital Tek,"ambient idm, classic dubstep, drill and bass, footwork, future garage, glitch hop, intelligent dance music, wonky",28,34529
3 Steps Ahead,"gabber, happy hardcore, hardcore techno",36,16162
Stefan Stürmer,"discofox, partyschlager",44,20028
SPITZ,"classic j-pop, j-pop, j-rock",64,2125940
The Kid Brisk,,37,6016
Ukays,"malaysian pop, rock kapak",47,96876
Fito y Fitipaldis,"latin rock, spanish pop, spanish rock",63,1965034
Charly Lownoise & Mental Theo,"bubble trance, happy hardcore, hardcore techno",42,26817
Punch Brothers,"banjo, bluegrass, indie folk, mandolin, new americana, progressive bluegrass",41,218638
Porya Hatami,"drift, iranian experimental, nu age, persian neo-traditional",22,5019
Idoling!!!,"j-idol, j-pop girl group",28,7909
Alexi Murdoch,"acoustic pop, british singer-songwriter, indie folk, stomp and holler",49,264509
Crankdat,dubstep,50,117518
Wisin & Yandel,"electro latino, reggaeton, trap latino, urbano latino",76,6952031
Noisecream,dark clubbing,38,16174
Amindi,"alternative r&b, dancehall",45,47053
Jim Croce,"classic rock, country rock, folk, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock",62,1340004
Yng Lvcas,reggaeton,70,280886
Álvaro De Luna,spanish pop,61,125933
Yugo Kanno,"anime score, japanese soundtrack",54,161056
Alceu Valença,"manguebeat, mpb, nova musica pernambucana",60,1565302
Otros Aires,"neotango, nuevo tango, tango",33,22883
O Rappa,"brazilian hip hop, brazilian reggae, brazilian rock, latin alternative, rock nacional brasileiro",64,3566344
The Monkees,"album rock, beatlesque, bubblegum pop, classic rock, folk rock, heartland rock, mellow gold, psychedelic rock, rock-and-roll, singer-songwriter, soft rock, sunshine pop",59,1147262
Insect Warfare,"american grindcore, deathgrind, grindcore, powerviolence",28,41118
Hardwell,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house",65,3721478
Robert Schumann,"early romantic era, german romanticism",65,547101
Chicken Dance Mix DJ's,kids dance party,18,2994
Celtic Woman,"celtic, operatic pop",55,516327
Dolu Kadehi Ters Tut,"turkish alt pop, turkish rock",64,2372992
Sigur Rós,"chamber pop, compositional ambient, dream pop, ethereal wave, icelandic rock, indie rock, melancholia, nordic post-rock, post-rock",54,1291443
Pinkfong,"cartoon, children's music, dong-yo",65,264527
Kai Wachi,"brostep, deathstep, dubstep",52,124771
Lil Uzi Vert,"hip hop, melodic rap, philly rap, rage rap, rap",83,16358987
