id_event,short_title,performer_id,performer_name,average_price,venue_state,id_performer,name_merged,type_performer,taxonomy_id,genre_id,genre_name,postal_code,capacity,combined_venue,combined_address,combined_city,combined_venueid,combined_country
6257631,Queen Nation (18+),15048,Queen Nation,81.0,CA,,,,,,,,,The Canyon - Montclair,5600 North Montclair Plaza Lane,Montclair,462608.0,US
6233654,Missus Jones,778752,Missus Jones,45.0,CA,,,,,,,,,The Peppermint Club,8713 Beverly Boulevard,West Hollywood,425972.0,US
5862157,Purple Reign - The Prince Tribute Show,20510,Purple Reign - Prince Tribute,145.0,NV,,,,,,,,,Tropicana Hotel Las Vegas,3801 Las Vegas Boulevard,Las Vegas,8284.0,US
6119253,Kylie Minogue,1076,Kylie Minogue,820.0,NV,,,,,,,,,Voltaire,3355 Las Vegas Blvd. South,Las Vegas,521556.0,US
5926884,Awakening,79952,Awakening,261.0,NV,,,,,,,,,Awakening Theater at Wynn Las Vegas,3131 Las Vegas Boulevard South,Las Vegas,6206.0,US
6246348,A Hundred Drums,784752,A Hundred Drums,56.0,NC,,,,,,,,,Blackbox Theater,,Charlotte,284564.0,US
6139525,Eddie Montgomery,780865,Eddie Montgomery,195.0,NV,,,,,,,,,The Showroom at the Golden Nugget Las Vegas,301 Fremont Street,Las Vegas,4365.0,US
6301674,James Kennedy (21+),722046,James Kennedy,40.0,CA,,,,,,,90014,1500.0,Exchange LA,618 S. Spring Street,Los Angeles,7336.0,US
6291028,Kaskade Christmas (21+),1026,Kaskade,105.0,NV,,,,,,,,,Zouk Nightclub Las Vegas,3000 South Las Vegas Boulevard,Las Vegas,519349.0,US
6190953,Heidi Lawden: Honey Dijon Presents Transmutation (21+),561430,Heidi Lawden,176.0,CA,,,,,,,,,Hollywood Palladium,6215 Sunset Boulevard,Los Angeles,465.0,US
6299283,Barely Alive (18+),306391,Barely Alive,65.0,HI,,,,,,,,,HB Social Club,1680 Kapiolani Boulevard,Honolulu,461920.0,US
6272838,"Harry Connick, Jr.",837,"Harry Connick, Jr.",132.0,NY,,,,,,,,,The Argyle Theatre at Babylon Village,34 West Main Street,Babylon,467627.0,US
6244704,The Rock and Roll Playhouse,366593,The Rock and Roll Playhouse,47.0,MA,,,,,,,02134,476.0,Brighton Music Hall,158 Brighton Avenue,Boston,1446.0,US
6248248,H2O with Madball,4322,H2O,108.0,PA,,,,,,,,,Reverb - PA,1402 N. 9th St.,Reading,7084.0,US
6288209,The Little Mermen,473122,The Little Mermen,108.0,NH,473122.0,The Little Mermen,band,2000000.0,452.0,Pop,,,Tupelo Music Hall,2 Young Road,Londonderry,4791.0,US
6093012,Here We Are,164833,Here We Are,135.0,NY,,,,,,,,,The Theater at The Shed,545 West 30th Street,New York,464928.0,US
5926202,The Carolina Opry,58455,The Carolina Opry,115.0,SC,,,,,,,,,The Carolina Opry,8901 N Kings Hwy,Myrtle Beach,9730.0,US
5899124,The Charleston Christmas Special,300347,The Charleston Christmas Special,106.0,SC,,,,,,,29403,935.0,Charleston Music Hall,37 John Street,Charleston,1209.0,US
6132553,Chris Pinnella,799493,Chris Pinnella,84.0,NJ,,,,,,,,,The Vogel at Count Basie Center for the Arts,99 Monmouth Street,Red Bank,518576.0,US
6157319,Trans-Siberian Orchestra,1938,Trans-Siberian Orchestra,216.0,PA,1938.0,Trans-Siberian Orchestra,band,2000000.0,456.0,Rock,15219,14536.0,PPG Paints Arena,1001 Fifth Avenue,Pittsburgh,2265.0,US
6275924,Cherish The Ladies,8557,Cherish The Ladies,101.0,NY,,,,,,,,,The Suffolk Theater,118 East Main Street,Riverhead,42008.0,US
6308789,Jesse Garron - A Tribute to Elvis,147403,Jesse Garron,76.0,NJ,,,,,,,,,Levoy Theatre,500 N. Market st.,Millville,13155.0,US
6157321,Trans-Siberian Orchestra,1938,Trans-Siberian Orchestra,202.0,MO,1938.0,Trans-Siberian Orchestra,band,2000000.0,456.0,Rock,64106,19252.0,T-Mobile Center,1407 Grand Blvd.,Kansas City,84.0,US
5926988,The Oak Ridge Boys,1356,The Oak Ridge Boys,162.0,WI,,,,,,,53965,2000.0,Crystal Grand Music Theatre,430 W Munroe Ave,Wisconsin Dells,1831.0,US
6307708,Annie Moses Band,130684,Annie Moses Band,61.0,KY,,,,,,,,,Carson Center,100 Kentucky Avenue,Paducah,1197.0,US
6178602,Doug Church,112753,Doug Church,80.0,VA,,,,,,,,,The Beacon Theatre Hopewell,401 N. Main St,Hopewell,63542.0,US
6304920,Let's Sing Taylor: A Live Band Experience,805380,Taylor Swift Tribute,52.0,NY,,,,,,,14203,1200.0,Town Ballroom,681 Main Street,Buffalo,1073.0,US
