event_name,date,artist_name,average_price,tickets_sold,tickets_available,revenue,capacity,venue_name,venue_city,venue_country
Plus tour,2015-03-25,Ed Sheeran,68.82774661376385,36545,36545,2515310,36545,Qantas Credit Union Arena,Sydney,Australia
Plus tour,2015-03-26,Ed Sheeran,68.82774661376385,36545,36545,2515310,36545,Qantas Credit Union Arena,Sydney,Australia
Plus tour,2015-03-28,Ed Sheeran,64.77383068406887,39382,39382,2550923,39382,Rod Laver Arena,Melbourne,Australia
Plus tour,2015-03-29,Ed Sheeran,64.77383068406887,39382,39382,2550923,39382,Rod Laver Arena,Melbourne,Australia
Plus tour,2015-03-30,Ed Sheeran,64.77383068406887,39382,39382,2550923,39382,Rod Laver Arena,Melbourne,Australia
Plus tour,2015-04-01,Ed Sheeran,63.28169014084507,18318,18318,1159194,18318,Adelaide Entertainment Centre Arena,Adelaide,Australia
Plus tour,2015-04-02,Ed Sheeran,63.28169014084507,18318,18318,1159194,18318,Adelaide Entertainment Centre Arena,Adelaide,Australia
Plus tour,2015-04-04,Ed Sheeran,67.24631097144419,29276,29692,1968703,29692,Perth Arena,Perth,Australia
Plus tour,2015-04-05,Ed Sheeran,67.24631097144419,29276,29692,1968703,29692,Perth Arena,Perth,Australia
Plus tour,2015-04-08,Ed Sheeran,74.06878664862427,8868,8868,656842,8868,Horncastle Arena,Christchurch,New Zealand
Plus tour,2015-04-10,Ed Sheeran,74.06832298136646,5635,5635,417375,5635,TSB Bank Arena,Wellington,New Zealand
Plus tour,2015-04-11,Ed Sheeran,67.5597749044203,23279,23792,1572724,23792,Vector Arena,Auckland,New Zealand
Plus tour,2015-04-12,Ed Sheeran,67.5597749044203,23279,23792,1572724,23792,Vector Arena,Auckland,New Zealand
Plus tour,2015-04-19,Ed Sheeran,74.7972850678733,6630,6630,495906,6630,C.C Bima Gran Carpa,Bogotá,Colombia
Plus tour,2015-04-21,Ed Sheeran,71.09142415657996,11649,11649,828144,11649,Jockey Club Parcela H,Lima,Peru
Plus tour,2015-04-23,Ed Sheeran,51.553693316212744,14797,14797,762840,14797,Pista Atletica,Santiago,Chile
Plus tour,2015-04-25,Ed Sheeran,60.945668597330645,15884,15884,968061,15884,Estadio Luna Park,Buenos Aires,Argentina
Plus tour,2015-04-26,Ed Sheeran,60.945668597330645,15884,15884,968061,15884,Estadio Luna Park,Buenos Aires,Argentina
Plus tour,2015-04-28,Ed Sheeran,57.85212170275923,14823,14823,857542,14823,Espaço das Américas,São Paulo,Brazil
Plus tour,2015-04-29,Ed Sheeran,57.85212170275923,14823,14823,857542,14823,Espaço das Américas,São Paulo,Brazil
Plus tour,2015-04-30,Ed Sheeran,59.98826144953313,11245,11245,674568,11245,HSBC Arena,Rio de Janeiro,Brazil
Plus tour,2015-05-06,Ed Sheeran,58.941257655481756,11593,11951,683306,11951,Frank Erwin Center,Austin,United States
Plus tour,2015-05-07,Ed Sheeran,69.62246256239601,6010,6010,418431,6010,Verizon Theatre,Grand Prairie,United States
Plus tour,2015-05-09,Ed Sheeran,55.76107931316435,12230,12230,681958,12230,BOK Center,Tulsa,United States
Plus tour,2015-05-12,Ed Sheeran,56.34139965643438,13389,13389,754355,13389,Consol Energy Center,Pittsburgh,United States
Plus tour,2015-05-13,Ed Sheeran,59.38468517510434,11022,12935,654538,12935,Times Union Center,Albany,United States
Plus tour,2015-05-19,Ed Sheeran,59.01184295911746,12328,12638,727498,12638,EnergySolutions Arena,Salt Lake City,United States
Plus tour,2015-05-23,Ed Sheeran,65.56981664315938,7090,7090,464890,7090,Mohegan Sun Arena,Uncasville,United States
Plus tour,2015-05-24,Ed Sheeran,51.52013108614232,12816,13160,660282,13160,Darling's Waterfront Pavilion,Bangor,United States
Plus tour,2015-05-26,Ed Sheeran,56.53392542806849,12498,12868,706561,12868,The Mann Center,Philadelphia,United States
Plus tour,2015-05-28,Ed Sheeran,68.12512397955291,26214,27330,1785832,27330,Forest Hills Stadium,New York City,United States
Plus tour,2015-05-29,Ed Sheeran,68.12512397955291,26214,27330,1785832,27330,Forest Hills Stadium,New York City,United States
Plus tour,2015-05-30,Ed Sheeran,74.71984316137464,13007,13007,971881,13007,Prudential Center,Newark,United States
Plus tour,2015-05-31,Ed Sheeran,75.58085210236385,14341,14609,1083905,14609,Barclays Center,Brooklyn,United States
Plus tour,2015-06-02,Ed Sheeran,56.98758106802815,14494,14931,825978,14931,Bell Centre,Montreal,Canada
Plus tour,2015-06-03,Ed Sheeran,52.250918084388815,13343,13808,697184,13808,Canadian Tire Centre,Ottawa,Canada
Plus tour,2015-06-05,Ed Sheeran,61.421064527065205,8849,8849,543515,8849,Budweiser Gardens,London,Canada
Plus tour,2015-06-06,Ed Sheeran,56.11199047485642,14278,14278,801167,14278,Air Canada Centre,Toronto,Canada
Plus tour,2015-06-07,Ed Sheeran,36.24042328042328,14175,14175,513708,14175,Marvin Sands Performing Arts Center,Hopewell,United States
Plus tour,2015-06-09,Ed Sheeran,58.87423780487805,13120,13408,772430,13408,Wells Fargo Arena,Des Moines,United States
Plus tour,2015-06-10,Ed Sheeran,59.83194643711143,10455,10868,625543,10868,Denny Sanford Premier Center,Sioux Falls,United States
Plus tour,2015-06-12,Ed Sheeran,58.597046229135714,11443,11443,670526,11443,MTS Centre,Winnipeg,Canada
Plus tour,2015-06-13,Ed Sheeran,63.026896090878715,5986,6092,377279,6092,Brandt Centre,Regina,Canada
Plus tour,2015-06-14,Ed Sheeran,60.94880599344467,12814,12814,780998,12814,Rexall Place,Edmonton,Canada
Plus tour,2015-06-16,Ed Sheeran,58.849586092715235,12080,12289,710903,12289,SaskTel Centre,Saskatoon,Canada
Plus tour,2015-06-17,Ed Sheeran,62.34316374585038,12953,13201,807531,13201,Scotiabank Saddledome,Calgary,Canada
Plus tour,2015-06-19,Ed Sheeran,61.22852886405959,13425,13854,821993,13854,Rogers Arena,Vancouver,Canada
Plus tour,2015-06-20,Ed Sheeran,59.67762103238218,12476,12476,744538,12476,Moda Center,Portland,United States
Plus tour,2015-06-23,Ed Sheeran,55.42445482866044,10272,12382,569320,12382,Valley View Casino Center,San Diego,United States
Plus tour,2015-06-26,Ed Sheeran,65.0,8500,8500,552500,8500,Hearst Greek Theatre,Berkeley,United States
Plus tour,2015-06-29,Ed Sheeran,59.30133085053946,18259,19050,1082783,19050,Red Rocks Amphitheatre,Morrison,United States
Plus tour,2015-06-30,Ed Sheeran,59.30133085053946,18259,19050,1082783,19050,Red Rocks Amphitheatre,Morrison,United States
Plus tour,2015-07-10,Ed Sheeran,78.39367939928175,229725,229725,18008988,229725,Wembley Stadium,London,England
Plus tour,2015-07-11,Ed Sheeran,78.39367939928175,229725,229725,18008988,229725,Wembley Stadium,London,England
Plus tour,2015-07-12,Ed Sheeran,78.39367939928175,229725,229725,18008988,229725,Wembley Stadium,London,England
Plus tour,2015-07-24,Ed Sheeran,72.20993415861116,162208,162208,11713029,162208,Croke Park,Dublin,Ireland
Plus tour,2015-07-25,Ed Sheeran,72.20993415861116,162208,162208,11713029,162208,Croke Park,Dublin,Ireland
Plus tour,2015-09-03,Ed Sheeran,55.487284732756315,22414,23765,1243692,23765,BBVA Compass Stadium,Houston,United States
Plus tour,2015-09-05,Ed Sheeran,51.26003587151476,30665,30665,1571889,30665,Toyota Stadium,Frisco,United States
