event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
My World Tour,2011-05-07,Justin Bieber,,234.59885506841664,7162,7162,1680197,"canadian pop, pop",7162,Burswood Dome,Perth,Western Australia,Australia
My World Tour,2011-10-01,Justin Bieber,,63.81422778430687,94449,106028,6027190,"canadian pop, pop",106028,Foro Sol,Mexico City,Mexico City,Mexico
My World Tour,2011-10-02,Justin Bieber,,63.81422778430687,94449,106028,6027190,"canadian pop, pop",106028,Foro Sol,Mexico City,Mexico City,Mexico
My World Tour,2011-10-05,Justin Bieber,,11.151655814153397,46533,57189,518920,"canadian pop, pop",57189,Estádio Olímpico João Havelange,Rio de Janeiro,Rio de Janeiro,Brazil
My World Tour,2011-10-06,Justin Bieber,,11.151655814153397,46533,57189,518920,"canadian pop, pop",57189,Estádio Olímpico João Havelange,Rio de Janeiro,Rio de Janeiro,Brazil
My World Tour,2011-10-10,Justin Bieber,,22.35964827519567,20698,48675,462800,"canadian pop, pop",48675,Estádio Beira-Rio,Porto Alegre,Rio Grande do Sul,Brazil
My World Tour,2011-10-12,Justin Bieber,,4.654595848522279,66386,80386,309000,"canadian pop, pop",80386,Estadio River Plate,Buenos Aires,Buenos Aires,Argentina
My World Tour,2011-10-13,Justin Bieber,,4.654595848522279,66386,80386,309000,"canadian pop, pop",80386,Estadio River Plate,Buenos Aires,Buenos Aires,Argentina
My World Tour,2011-10-15,Justin Bieber,,4.226317925465665,71457,73000,302000,"canadian pop, pop",73000,Estadio Nacional de Chile,Santiago,Santiago Metropolitan Region,Chile
My World Tour,2011-10-17,Justin Bieber,,11.43846113195582,18923,33769,216450,"canadian pop, pop",33769,Estadio Nacional de Lima,Lima,Lima,Peru
My World Tour,2011-10-19,Justin Bieber,,22.062274714318583,13039,15591,287670,"canadian pop, pop",15591,Estadio de Fútbol USB,Caracas,Capital District,Venezuela
