event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
Believe Tour,2013-07-23,Justin Bieber,"Hot Chelle Rae, Mike Posner",80.2372461975111,13741,13741,1102540,"canadian pop, pop",13741,Scotiabank Place,Ottawa,Ontario,Canada
Believe Tour,2013-07-25,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.25911569992796,29153,29153,2398100,"canadian pop, pop",29153,Air Canada Centre,Toronto,Ontario,Canada
Believe Tour,2013-07-26,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.25911569992796,29153,29153,2398100,"canadian pop, pop",29153,Air Canada Centre,Toronto,Ontario,Canada
Believe Tour,2013-07-28,Justin Bieber,"Hot Chelle Rae, Mike Posner",79.76544758383945,15148,15148,1208287,"canadian pop, pop",15148,Joe Louis Arena,Detroit,Michigan,United States
Believe Tour,2013-07-30,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.44490008947211,26824,26824,2211502,"canadian pop, pop",26824,Prudential Center,Newark,New Jersey,United States
Believe Tour,2013-07-31,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.44490008947211,26824,26824,2211502,"canadian pop, pop",26824,Prudential Center,Newark,New Jersey,United States
Believe Tour,2013-02-08,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.78878453417427,14587,14587,1207640,"canadian pop, pop",14587,Barclays Center,Brooklyn,New York,United States
Believe Tour,2013-03-08,Justin Bieber,"Hot Chelle Rae, Mike Posner",82.15272752099406,14647,14647,1203291,"canadian pop, pop",14647,Verizon Center,"Washington, D.C.",District of Columbia,United States
Believe Tour,2013-05-08,Justin Bieber,"Hot Chelle Rae, Mike Posner",79.44545454545455,12540,12540,996246,"canadian pop, pop",12540,Colonial Life Arena,Columbia,Maryland,United States
Believe Tour,2013-07-08,Justin Bieber,"Ariana Grande, Cody Simpson",81.29359708485164,11526,11526,936990,"canadian pop, pop",11526,Jacksonville Veterans Memorial Arena,Jacksonville,Florida,United States
Believe Tour,2013-08-08,Justin Bieber,"Ariana Grande, Cody Simpson",78.1314986878502,14099,14099,1101576,"canadian pop, pop",14099,Tampa Bay Times Forum,Tampa,Florida,United States
Believe Tour,2013-10-08,Justin Bieber,"Ariana Grande, Cody Simpson",82.20238574997985,12407,12407,1019885,"canadian pop, pop",12407,Philips Arena,Atlanta,Georgia,United States
Believe Tour,2013-02-11,Justin Bieber,P9,102.32692187206315,31922,33374,3266480,"canadian pop, pop",33374,Arena Anhembi,São Paulo,São Paulo,Brazil
Believe Tour,2013-12-11,Justin Bieber,"Carly Rae Jepsen, Owl City",103.156621985032,47969,52300,4948320,"canadian pop, pop",52300,Estadio Nacional,Santiago,Santiago Metropolitan Region,Chile
Believe Tour,2013-11-26,Justin Bieber,Cody Simpson,124.81037472668325,13263,19960,1655360,"canadian pop, pop",19960,Brisbane Entertainment Centre,Brisbane,Queensland,Australia
Believe Tour,2013-11-27,Justin Bieber,Cody Simpson,124.81037472668325,13263,19960,1655360,"canadian pop, pop",19960,Brisbane Entertainment Centre,Brisbane,Queensland,Australia
Believe Tour,2013-11-29,Justin Bieber,Cody Simpson,128.60765571123042,22911,24566,2946530,"canadian pop, pop",24566,Allphones Arena,Sydney,New South Wales,Australia
Believe Tour,2013-11-30,Justin Bieber,Cody Simpson,128.60765571123042,22911,24566,2946530,"canadian pop, pop",24566,Allphones Arena,Sydney,New South Wales,Australia
Believe Tour,2013-02-12,Justin Bieber,Cody Simpson,120.03859291132503,22543,23925,2706030,"canadian pop, pop",23925,Rod Laver Arena,Melbourne,Victoria,Australia
Believe Tour,2013-03-12,Justin Bieber,Cody Simpson,120.03859291132503,22543,23925,2706030,"canadian pop, pop",23925,Rod Laver Arena,Melbourne,Victoria,Australia
