Date,City,Country,Venue,Opening act,Attendance,Revenue
"June 21, 2016",Lincoln,United States,Pinnacle Bank Arena,Post Malone Moxie Raia,"13,048 / 13,048","$1,244,748"
"June 22, 2016",Des Moines,United States,Wells Fargo Arena,Post Malone Moxie Raia,"13,086 / 13,086","$1,251,093"
"June 24, 2016",Cincinnati,United States,U.S. Bank Arena,Post Malone Moxie Raia,"12,522 / 12,522","$1,193,105"
"June 25, 2016",Indianapolis,United States,Bankers Life Fieldhouse,Post Malone Moxie Raia,"14,403 / 14,403","$1,363,344"
"June 27, 2016",Nashville,United States,Bridgestone Arena,Post Malone Moxie Raia,"14,051 / 14,051","$1,368,341"
"June 29, 2016",Jacksonville,United States,Jacksonville Arena,Post Malone Moxie Raia,"11,590 / 11,590","$1,116,384"
"June 30, 2016",Orlando,United States,Amway Center,Post Malone Moxie Raia,"13,282 / 13,282","$1,273,025"
"July 2, 2016",Miami,United States,American Airlines Arena,Post Malone Moxie Raia,"27,019 / 27,019","$2,836,286"
"July 3, 2016",Miami,United States,American Airlines Arena,Post Malone Moxie Raia,"27,019 / 27,019","$2,836,286"
"July 6, 2016",Greensboro,United States,Greensboro Coliseum,Post Malone Moxie Raia,"14,832 / 14,832","$1,421,008"
"July 7, 2016",Baltimore,United States,Royal Farms Arena,Post Malone Moxie Raia,"13,325 / 13,325","$1,199,139"
"July 9, 2016",Newark,United States,Prudential Center,Post Malone Moxie Raia,"13,739 / 13,739","$1,475,513"
"July 10, 2016",Hartford,United States,XL Center,Post Malone Moxie Raia,"11,930 / 11,930","$1,169,815"
"July 12, 2016",Buffalo,United States,First Niagara Center,Post Malone Moxie Raia,"14,424 / 14,424","$1,376,691"
"July 13, 2016",Pittsburgh,United States,Consol Energy Center,Post Malone Moxie Raia,"14,508 / 14,508","$1,353,964"
"July 15, 2016",Atlantic City,United States,Boardwalk Hall,Post Malone Moxie Raia,"12,829 / 12,829","$1,241,152"
"July 18, 2016",New York City,United States,Madison Square Garden,Post Malone Moxie Raia,"29,425 / 29,425","$3,340,025"
"July 19, 2016",New York City,United States,Madison Square Garden,Post Malone Moxie Raia,"29,425 / 29,425","$3,340,025"
Asia,Asia,Asia,Asia,Asia,Asia,Asia
"August 13, 2016",Chiba,Japan,Makuhari Messe,—,"25,000 / 25,000","$2,980,580"
"August 14, 2016",Chiba,Japan,Makuhari Messe,—,"25,000 / 25,000","$2,980,580"
Europe[33],Europe[33],Europe[33],Europe[33],Europe[33],Europe[33],Europe[33]
"August 20, 2016[a]",Chelmsford,England,Hylands Park,—,—,—
"August 21, 2016[a]",Staffordshire,England,Weston Park,—,—,—
"September 8, 2016",Kópavogur,Iceland,Kórinn,Sturla Atlas Vic Mensa,"34,893 / 34,893","$5,009,775"
"September 9, 2016",Kópavogur,Iceland,Kórinn,Sturla Atlas Vic Mensa,"34,893 / 34,893","$5,009,775"
"September 14, 2016",Berlin,Germany,Mercedes-Benz Arena,Vic Mensa,"13,344 / 13,344","$1,219,782"
"September 16, 2016",Munich,Germany,Olympiahalle,Vic Mensa,"13,204 / 13,204","$1,275,680"
"September 18, 2016",Cologne,Germany,Lanxess Arena,Vic Mensa,"16,524 / 16,524","$1,395,423"
"September 20, 2016",Paris,France,AccorHotels Arena,The Knocks Vic Mensa,"32,179 / 32,179","$2,576,666"
"September 21, 2016",Paris,France,AccorHotels Arena,The Knocks Vic Mensa,"32,179 / 32,179","$2,576,666"
"September 23, 2016",Oslo,Norway,Telenor Arena,The Knocks,"45,234 / 45,234","$3,950,932"
"September 24, 2016",Oslo,Norway,Telenor Arena,The Knocks,"45,234 / 45,234","$3,950,932"
"September 26, 2016",Helsinki,Finland,Hartwall Arena,The Knocks,"23,354 / 23,354","$2,486,008"
"September 27, 2016",Helsinki,Finland,Hartwall Arena,The Knocks,"23,354 / 23,354","$2,486,008"
"September 29, 2016",Stockholm,Sweden,Tele2 Arena,The Knocks MiC Lowry,"79,380 / 79,380","$5,474,781"
"September 30, 2016",Stockholm,Sweden,Tele2 Arena,The Knocks MiC Lowry,"79,380 / 79,380","$5,474,781"
"October 2, 2016",Copenhagen,Denmark,Telia Parken,The Knocks MiC Lowry,"51,080 / 51,080","$3,615,874"
"October 5, 2016",Antwerp,Belgium,Sportpaleis,The Knocks MiC Lowry,"37,616 / 37,616","$2,890,081"
"October 6, 2016",Antwerp,Belgium,Sportpaleis,The Knocks MiC Lowry,"37,616 / 37,616","$2,890,081"
"October 8, 2016",Arnhem,Netherlands,GelreDome,The Knocks MiC Lowry,"70,428 / 70,428","$5,236,048"
"October 9, 2016",Arnhem,Netherlands,GelreDome,The Knocks MiC Lowry,"70,428 / 70,428","$5,236,048"
"October 11, 2016",London,England,The O2 Arena,The Knocks MiC Lowry,"63,868 / 63,868","$4,865,897"
"October 12, 2016",London,England,The O2 Arena,The Knocks MiC Lowry,"63,868 / 63,868","$4,865,897"
"October 14, 2016",London,England,The O2 Arena,The Knocks MiC Lowry,"63,868 / 63,868","$4,865,897"
"October 15, 2016",London,England,The O2 Arena,The Knocks MiC Lowry,"63,868 / 63,868","$4,865,897"
"October 17, 2016",Birmingham,England,Barclaycard Arena,The Knocks MiC Lowry,"31,269 / 31,269","$2,458,371"
"October 18, 2016",Birmingham,England,Barclaycard Arena,The Knocks MiC Lowry,"31,269 / 31,269","$2,458,371"
"October 20, 2016",Manchester,England,Manchester Arena,The Knocks MiC Lowry,"49,586 / 49,586","$3,700,285"
"October 21, 2016",Manchester,England,Manchester Arena,The Knocks MiC Lowry,"49,586 / 49,586","$3,700,285"
"October 23, 2016",Manchester,England,Manchester Arena,The Knocks MiC Lowry,"49,586 / 49,586","$3,700,285"
"October 24, 2016",Birmingham,England,Genting Arena,The Knocks MiC Lowry,"14,970 / 14,970","$1,168,892"
"October 26, 2016",Sheffield,England,Sheffield Arena,The Knocks MiC Lowry,"13,126 / 13,126","$1,034,351"
"October 27, 2016",Glasgow,Scotland,SSE Hydro,The Knocks MiC Lowry,"38,193 / 38,193","$2,963,880"
"October 29, 2016",Glasgow,Scotland,SSE Hydro,The Knocks MiC Lowry,"38,193 / 38,193","$2,963,880"
"October 30, 2016",Glasgow,Scotland,SSE Hydro,The Knocks MiC Lowry,"38,193 / 38,193","$2,963,880"
"November 1, 2016",Dublin,Ireland,3Arena,The Knocks MiC Lowry,"25,301 / 25,301","$2,304,928"
"November 2, 2016",Dublin,Ireland,3Arena,The Knocks MiC Lowry,"25,301 / 25,301","$2,304,928"
"November 8, 2016",Vienna,Austria,Wiener Stadthalle,The Knocks MiC Lowry,"15,988 / 15,988","$1,427,759"
"November 9, 2016",Zagreb,Croatia,Arena Zagreb,The Knocks MiC Lowry,"18,103 / 18,103","$1,326,854"
"November 11, 2016",Kraków,Poland,Tauron Arena,The Knocks MiC Lowry,"16,010 / 16,010","$1,320,727"
"November 12, 2016",Prague,Czech Republic,O2 Arena,The Knocks MiC Lowry,"18,384 / 18,384","$1,129,114"
"November 14, 2016",Hamburg,Germany,Barclaycard Arena,The Knocks MiC Lowry,"13,493 / 13,493","$1,208,095"
"November 16, 2016",Frankfurt,Germany,Festhalle,The Knocks MiC Lowry,"12,185 / 12,185","$1,255,135"
"November 17, 2016",Zürich,Switzerland,Hallenstadion,The Knocks MiC Lowry,"13,735 / 13,735","$1,461,928"
"November 19, 2016",Bologna,Italy,Unipol Arena,The Knocks MiC Lowry,"27,418 / 27,418","$2,062,484"
"November 20, 2016",Bologna,Italy,Unipol Arena,The Knocks MiC Lowry,"27,418 / 27,418","$2,062,484"
"November 22, 2016",Barcelona,Spain,Palau Sant Jordi,The Knocks MiC Lowry,"17,828 / 17,828","$1,478,323"
"November 23, 2016",Madrid,Spain,Barclaycard Center,The Knocks MiC Lowry,"14,300 / 14,537","$1,450,184"
"November 25, 2016",Lisbon,Portugal,MEO Arena,The Knocks MiC Lowry,"19,380 / 19,380","$1,233,487"
"November 28, 2016",London,England,The O2 Arena,The Knocks MiC Lowry,"32,366 / 32,366","$2,313,609"
"November 29, 2016",London,England,The O2 Arena,The Knocks MiC Lowry,"32,366 / 32,366","$2,313,609"
Latin America[34],Latin America[34],Latin America[34],Latin America[34],Latin America[34],Latin America[34],Latin America[34]
"February 15, 2017",Monterrey,Mexico,Estadio BBVA Bancomer,—,"45,535 / 45,535","$3,491,598"
